,Unnamed: 0,id_x,sentiment_idx,text_re,polarity_re,polarity_confidence_re,subjectivity_re,subjectivity_confidence_re,Unnamed: 0.1,Unnamed: 0.1.1,contributors,coordinates,coordinates\coordinates,coordinates\type,created_at,display_text_range,entities\hashtags,entities\media,entities\symbols,entities\urls,entities\user_mentions,extended_entities\media,extended_tweet\display_text_range,extended_tweet\entities\hashtags,extended_tweet\entities\media,extended_tweet\entities\symbols,extended_tweet\entities\urls,extended_tweet\entities\user_mentions,extended_tweet\extended_entities\media,extended_tweet\full_text,favorite_count,favorited,filter_level,geo,geo\coordinates,geo\type,id_y,id_str,in_reply_to_screen_name,in_reply_to_status_id,in_reply_to_status_id_str,in_reply_to_user_id,in_reply_to_user_id_str,is_quote_status,lang,matching_rules,place,place\bounding_box\coordinates,place\bounding_box\type,place\country,place\country_code,place\full_name,place\id,place\name,place\place_type,place\url,possibly_sensitive,quote_count,quoted_status\contributors,quoted_status\coordinates,quoted_status\created_at,quoted_status\display_text_range,quoted_status\entities\hashtags,quoted_status\entities\media,quoted_status\entities\symbols,quoted_status\entities\urls,quoted_status\entities\user_mentions,quoted_status\extended_entities\media,quoted_status\extended_tweet\display_text_range,quoted_status\extended_tweet\entities\hashtags,quoted_status\extended_tweet\entities\media,quoted_status\extended_tweet\entities\symbols,quoted_status\extended_tweet\entities\urls,quoted_status\extended_tweet\entities\user_mentions,quoted_status\extended_tweet\extended_entities\media,quoted_status\extended_tweet\full_text,quoted_status\favorite_count,quoted_status\favorited,quoted_status\filter_level,quoted_status\geo,quoted_status\id,quoted_status\id_str,quoted_status\in_reply_to_screen_name,quoted_status\in_reply_to_status_id,quoted_status\in_reply_to_status_id_str,quoted_status\in_reply_to_user_id,quoted_status\in_reply_to_user_id_str,quoted_status\is_quote_status,quoted_status\lang,quoted_status\place,quoted_status\place\bounding_box\coordinates,quoted_status\place\bounding_box\type,quoted_status\place\country,quoted_status\place\country_code,quoted_status\place\full_name,quoted_status\place\id,quoted_status\place\name,quoted_status\place\place_type,quoted_status\place\url,quoted_status\possibly_sensitive,quoted_status\quote_count,quoted_status\quoted_status_id,quoted_status\quoted_status_id_str,quoted_status\reply_count,quoted_status\retweet_count,quoted_status\retweeted,quoted_status\scopes\followers,quoted_status\source,quoted_status\text,quoted_status\truncated,quoted_status\user\contributors_enabled,quoted_status\user\created_at,quoted_status\user\default_profile,quoted_status\user\default_profile_image,quoted_status\user\description,quoted_status\user\favourites_count,quoted_status\user\follow_request_sent,quoted_status\user\followers_count,quoted_status\user\following,quoted_status\user\friends_count,quoted_status\user\geo_enabled,quoted_status\user\id,quoted_status\user\id_str,quoted_status\user\is_translator,quoted_status\user\lang,quoted_status\user\listed_count,quoted_status\user\location,quoted_status\user\name,quoted_status\user\notifications,quoted_status\user\profile_background_color,quoted_status\user\profile_background_image_url,quoted_status\user\profile_background_image_url_https,quoted_status\user\profile_background_tile,quoted_status\user\profile_banner_url,quoted_status\user\profile_image_url,quoted_status\user\profile_image_url_https,quoted_status\user\profile_link_color,quoted_status\user\profile_sidebar_border_color,quoted_status\user\profile_sidebar_fill_color,quoted_status\user\profile_text_color,quoted_status\user\profile_use_background_image,quoted_status\user\protected,quoted_status\user\screen_name,quoted_status\user\statuses_count,quoted_status\user\time_zone,quoted_status\user\translator_type,quoted_status\user\url,quoted_status\user\utc_offset,quoted_status\user\verified,quoted_status_id,quoted_status_id_str,quoted_status_permalink\display,quoted_status_permalink\expanded,quoted_status_permalink\url,reply_count,retweet_count,retweeted,source,text,truncated,user\contributors_enabled,user\created_at,user\default_profile,user\default_profile_image,user\description,user\favourites_count,user\follow_request_sent,user\followers_count,user\following,user\friends_count,user\geo_enabled,user\id,user\id_str,user\is_translator,user\lang,user\listed_count,user\location,user\name,user\notifications,user\profile_background_color,user\profile_background_image_url,user\profile_background_image_url_https,user\profile_background_tile,user\profile_banner_url,user\profile_image_url,user\profile_image_url_https,user\profile_link_color,user\profile_sidebar_border_color,user\profile_sidebar_fill_color,user\profile_text_color,user\profile_use_background_image,user\protected,user\screen_name,user\statuses_count,user\time_zone,user\translator_type,user\url,user\utc_offset,user\verified
0,0,9.28418E+17,4,#mrt fault again https://t.co/ooix1vnchg,neutral,0.922361851,objective,0.915041343,0,,,,"[103.8006376, 1.4410672]",Point,Thu Nov 09 00:25:13 +0000 2017,"[0, 16]","[{'text': 'MRT', 'indices': [0, 4]}]","[{'id': 928418113988608000, 'id_str': '928418113988608000', 'indices': [17, 40], 'media_url': 'http://pbs.twimg.com/media/DOJnWw9UQAA-iZH.jpg', 'media_url_https': 'https://pbs.twimg.com/media/DOJnWw9UQAA-iZH.jpg', 'url': 'https://t.co/OOIX1vNCHg', 'display_url': 'pic.twitter.com/OOIX1vNCHg', 'expanded_url': 'https://twitter.com/vckannan/status/928418160444710912/photo/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'medium': {'w': 675, 'h': 1200, 'resize': 'fit'}, 'large': {'w': 1152, 'h': 2048, 'resize': 'fit'}, 'small': {'w': 383, 'h': 680, 'resize': 'fit'}}}]",[],[],[],"[{'id': 928418113988608000, 'id_str': '928418113988608000', 'indices': [17, 40], 'media_url': 'http://pbs.twimg.com/media/DOJnWw9UQAA-iZH.jpg', 'media_url_https': 'https://pbs.twimg.com/media/DOJnWw9UQAA-iZH.jpg', 'url': 'https://t.co/OOIX1vNCHg', 'display_url': 'pic.twitter.com/OOIX1vNCHg', 'expanded_url': 'https://twitter.com/vckannan/status/928418160444710912/photo/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'medium': {'w': 675, 'h': 1200, 'resize': 'fit'}, 'large': {'w': 1152, 'h': 2048, 'resize': 'fit'}, 'small': {'w': 383, 'h': 680, 'resize': 'fit'}}}, {'id': 928418139817119744, 'id_str': '928418139817119744', 'indices': [17, 40], 'media_url': 'http://pbs.twimg.com/media/DOJnYRLUEAASHPR.jpg', 'media_url_https': 'https://pbs.twimg.com/media/DOJnYRLUEAASHPR.jpg', 'url': 'https://t.co/OOIX1vNCHg', 'display_url': 'pic.twitter.com/OOIX1vNCHg', 'expanded_url': 'https://twitter.com/vckannan/status/928418160444710912/photo/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'large': {'w': 1152, 'h': 2048, 'resize': 'fit'}, 'medium': {'w': 675, 'h': 1200, 'resize': 'fit'}, 'small': {'w': 383, 'h': 680, 'resize': 'fit'}}}]",,,,,,,,,0,FALSE,low,,"[1.4410672, 103.8006376]",Point,9.28418E+17,9.28418E+17,,,,,,FALSE,en,[{'tag': None}],,"[[[103.605441, 1.166389], [103.605441, 1.435746], [103.801598, 1.435746], [103.801598, 1.166389]]]",Polygon,Singapore,SG,"West Region, Singapore",0b37664066a8962a,West Region,admin,https://api.twitter.com/1.1/geo/id/0b37664066a8962a.json,FALSE,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,FALSE,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",#MRT fault again https://t.co/OOIX1vNCHg,FALSE,FALSE,Wed Oct 21 01:28:30 +0000 2009,FALSE,FALSE,Trying to be good human being,549,,20,,158,TRUE,83972437,83972437,FALSE,en,1,singapore,Sean Gregory,,642D8B,http://abs.twimg.com/images/themes/theme10/bg.gif,https://abs.twimg.com/images/themes/theme10/bg.gif,TRUE,https://pbs.twimg.com/profile_banners/83972437/1527578042,http://pbs.twimg.com/profile_images/1001361427746074626/VJNHDoAx_normal.jpg,https://pbs.twimg.com/profile_images/1001361427746074626/VJNHDoAx_normal.jpg,FF0000,65B0DA,7AC3EE,3D1957,TRUE,FALSE,Sean Gregory,832,,none,,,FALSE
1,1,9.16613E+17,7,mrt breakdown on a rainy saturday... #weekend #tgis @ city hall mrt… https://t.co/62tpmuddjf,neutral,0.899227381,subjective,0.920084552,0,,,,"[103.85221944, 1.29323889]",Point,Sat Oct 07 10:35:01 +0000 2017,,"[{'text': 'weekend', 'indices': [37, 45]}, {'text': 'tgis', 'indices': [46, 51]}]",,[],"[{'url': 'https://t.co/62TpMUDdjF', 'expanded_url': 'https://www.instagram.com/p/BZ8ZHAmnxtksSAQs7ENIhxYVdUvN3DQOPAIZ0o0/', 'display_url': 'instagram.com/p/BZ8ZHAmnxtks…', 'indices': [69, 92]}]",[],,,,,,,,,,0,FALSE,low,,"[1.29323889, 103.85221944]",Point,9.16613E+17,9.16613E+17,,,,,,FALSE,en,[{'tag': None}],,"[[[103.74996, 1.212314], [103.74996, 1.368745], [103.918427, 1.368745], [103.918427, 1.212314]]]",Polygon,Singapore,SG,"Central Region, Singapore",58a4c3a0d54e1400,Central Region,admin,https://api.twitter.com/1.1/geo/id/58a4c3a0d54e1400.json,FALSE,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,FALSE,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>",MRT breakdown on a rainy Saturday... #weekend #tgis @ City Hall MRT… https://t.co/62TpMUDdjF,FALSE,FALSE,Thu Jul 01 18:33:08 +0000 2010,FALSE,FALSE,My life isn't perfect but it does have perfect moments.,910,,257,,469,TRUE,161767759,161767759,FALSE,en,10,Singapore,Stephanie Mendoza,,0099B9,http://abs.twimg.com/images/themes/theme4/bg.gif,https://abs.twimg.com/images/themes/theme4/bg.gif,TRUE,https://pbs.twimg.com/profile_banners/161767759/1433250127,http://pbs.twimg.com/profile_images/565184342805053440/zhoMMEPy_normal.jpeg,https://pbs.twimg.com/profile_images/565184342805053440/zhoMMEPy_normal.jpeg,0099B9,5ED4DC,95E8EC,3C3940,TRUE,FALSE,Stephanie Mendoza,2015,,none,,,FALSE
2,2,9.08684E+17,10,heard nsl signalling fault near tpy to marina south pier. #smrt (@ jurong east mrt interchange (ns1/ew24)) https://t.co/t28dxbu3dp,neutral,0.962048829,objective,0.999999764,0,,,,"[103.74206039, 1.33334911]",Point,Fri Sep 15 13:29:20 +0000 2017,,"[{'text': 'smrt', 'indices': [58, 63]}]",,[],"[{'url': 'https://t.co/t28dXBu3dP', 'expanded_url': 'https://www.swarmapp.com/c/kgSWOpUG4xb', 'display_url': 'swarmapp.com/c/kgSWOpUG4xb', 'indices': [107, 130]}]",[],,,,,,,,,,0,FALSE,low,,"[1.33334911, 103.74206039]",Point,9.08684E+17,9.08684E+17,,,,,,FALSE,en,[{'tag': None}],,"[[[103.605441, 1.166389], [103.605441, 1.435746], [103.801598, 1.435746], [103.801598, 1.166389]]]",Polygon,Singapore,SG,"West Region, Singapore",0b37664066a8962a,West Region,admin,https://api.twitter.com/1.1/geo/id/0b37664066a8962a.json,FALSE,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,FALSE,"<a href=""http://foursquare.com"" rel=""nofollow"">Foursquare</a>",Heard NSL signalling fault near TPY to Marina South Pier. #smrt (@ Jurong East MRT Interchange (NS1/EW24)) https://t.co/t28dXBu3dP,FALSE,FALSE,Sat Jul 11 03:16:24 +0000 2009,FALSE,FALSE,100% Singaporean. AVM. Counting blessings.,2527,,266,,365,TRUE,55744044,55744044,FALSE,en,15,Singapore,Elizabeth Burgess,,0099B9,http://abs.twimg.com/images/themes/theme4/bg.gif,https://abs.twimg.com/images/themes/theme4/bg.gif,TRUE,,http://pbs.twimg.com/profile_images/828598365856243712/HKsPGH2W_normal.jpg,https://pbs.twimg.com/profile_images/828598365856243712/HKsPGH2W_normal.jpg,0099B9,FFFFFF,95E8EC,3C3940,TRUE,FALSE,Elizabeth Burgess,10891,,none,,,FALSE
3,3,8.8841E+17,14,thankfully downtown line did not have a train fault just now. @ tan kah kee mrt station https://t.co/foxk6xq6eq,neutral,0.777697802,objective,0.994125775,0,,,,"[103.807169, 1.326039]",Point,Fri Jul 21 14:48:48 +0000 2017,,[],,[],"[{'url': 'https://t.co/foXK6xq6EQ', 'expanded_url': 'https://www.instagram.com/p/BW0AJZMBs2Q/', 'display_url': 'instagram.com/p/BW0AJZMBs2Q/', 'indices': [88, 111]}]",[],,,,,,,,,,0,FALSE,low,,"[1.326039, 103.807169]",Point,8.8841E+17,8.8841E+17,,,,,,FALSE,en,[{'tag': None}],,"[[[103.74996, 1.212314], [103.74996, 1.368745], [103.918427, 1.368745], [103.918427, 1.212314]]]",Polygon,Singapore,SG,"Central Region, Singapore",58a4c3a0d54e1400,Central Region,admin,https://api.twitter.com/1.1/geo/id/58a4c3a0d54e1400.json,FALSE,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,FALSE,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>",Thankfully downtown line did not have a train fault just now. @ Tan Kah Kee MRT Station https://t.co/foXK6xq6EQ,FALSE,FALSE,Sun Mar 29 02:22:31 +0000 2009,FALSE,FALSE,this is where i dump all the other things from everywhere else. random. NSFW. not typically where i communicate with people. This is probably a bot.,98,,290,,469,TRUE,27361172,27361172,FALSE,en,19,Singapore,Dean Oneal,,D3E3E6,http://abs.twimg.com/images/themes/theme3/bg.gif,https://abs.twimg.com/images/themes/theme3/bg.gif,FALSE,https://pbs.twimg.com/profile_banners/27361172/1472981807,http://pbs.twimg.com/profile_images/1058237990659534849/yRaOprm6_normal.jpg,https://pbs.twimg.com/profile_images/1058237990659534849/yRaOprm6_normal.jpg,A093B5,4D2F31,5E383A,7B6482,TRUE,FALSE,Dean Oneal,28763,,none,http://www.facebook.com/kairin,,FALSE
4,4,8.85206E+17,15,power fault. #nowork #teamdiscussion #smw4life @ bishan mrt https://t.co/lonzvihwun,neutral,0.808453441,objective,0.800345595,0,,,,"[103.86082427, 1.35130238]",Point,Wed Jul 12 18:36:08 +0000 2017,,"[{'text': 'nowork', 'indices': [13, 20]}, {'text': 'teamdiscussion', 'indices': [21, 36]}, {'text': 'smw4life', 'indices': [37, 46]}]",,[],"[{'url': 'https://t.co/lonZvihwUN', 'expanded_url': 'https://www.instagram.com/p/BWdPAm-glBqlXKMZYdUs8wKgNyUFaLZDmHUAx00/', 'display_url': 'instagram.com/p/BWdPAm-glBql…', 'indices': [60, 83]}]",[],,,,,,,,,,0,FALSE,low,,"[1.35130238, 103.86082427]",Point,8.85206E+17,8.85206E+17,,,,,,FALSE,en,[{'tag': None}],,"[[[103.817833, 1.334355], [103.817833, 1.432041], [103.931418, 1.432041], [103.931418, 1.334355]]]",Polygon,Singapore,SG,"North-East Region, Singapore",5f1f473ed6455f55,North-East Region,admin,https://api.twitter.com/1.1/geo/id/5f1f473ed6455f55.json,FALSE,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,FALSE,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>",Power Fault. #nowork #teamdiscussion #smw4life @ Bishan MRT https://t.co/lonZvihwUN,FALSE,FALSE,Tue May 10 18:20:36 +0000 2016,TRUE,FALSE,Engaged to Nur Afiqah 03-01-15,113,,7,,20,TRUE,7.301E+17,7.301E+17,FALSE,en,0,"Honolulu, HI",Brenda Stewart,,F5F8FA,,,FALSE,,http://pbs.twimg.com/profile_images/730178617783681024/dYn4wOKC_normal.jpg,https://pbs.twimg.com/profile_images/730178617783681024/dYn4wOKC_normal.jpg,1DA1F2,C0DEED,DDEEF6,333333,TRUE,FALSE,Brenda Stewart,132,,none,,,FALSE
5,5,8.80563E+17,18,previous delay now 15mins (@ jurong east mrt interchange (ns1/ew24) - @smrt_singapore in singapore) https://t.co/chx3nckb1g,neutral,0.971989334,objective,1,0,,,,"[103.74221313, 1.33332001]",Point,Thu Jun 29 23:06:56 +0000 2017,,[],,[],"[{'url': 'https://t.co/chX3nCKb1g', 'expanded_url': 'https://www.swarmapp.com/c/3EA7Af9kJ5M', 'display_url': 'swarmapp.com/c/3EA7Af9kJ5M', 'indices': [100, 123]}]","[{'screen_name': 'SMRT_Singapore', 'name': 'SMRT Corporation', 'id': 307781209, 'id_str': '307781209', 'indices': [70, 85]}]",,,,,,,,,,0,FALSE,low,,"[1.33332001, 103.74221313]",Point,8.80563E+17,8.80563E+17,,,,,,FALSE,en,[{'tag': None}],,"[[[103.605441, 1.166389], [103.605441, 1.435746], [103.801598, 1.435746], [103.801598, 1.166389]]]",Polygon,Singapore,SG,"West Region, Singapore",0b37664066a8962a,West Region,admin,https://api.twitter.com/1.1/geo/id/0b37664066a8962a.json,FALSE,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,FALSE,"<a href=""http://foursquare.com"" rel=""nofollow"">Foursquare</a>",Previous delay now 15mins (@ Jurong East MRT Interchange (NS1/EW24) - @smrt_singapore in Singapore) https://t.co/chX3nCKb1g,FALSE,FALSE,Tue Apr 21 03:52:48 +0000 2009,TRUE,FALSE,"Simple guy, father of two, Techly Geekazoidal Am I a knowledge & information junkie?",26,,486,,794,TRUE,33801370,33801370,FALSE,en,19,Singapore,Candice Kennedy,,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,FALSE,https://pbs.twimg.com/profile_banners/33801370/1487981511,http://pbs.twimg.com/profile_images/2306159623/image_normal.jpg,https://pbs.twimg.com/profile_images/2306159623/image_normal.jpg,1DA1F2,C0DEED,DDEEF6,333333,TRUE,FALSE,Candice Kennedy,36776,,none,,,FALSE
6,6,8.80552E+17,19,already have announcements of 10mins delay (@ ang mo kio mrt station (ns16) - @smrt_singapore in singapore) https://t.co/tgzckohs2p,neutral,0.96182394,objective,1,0,,,,"[103.8497248, 1.36976466]",Point,Thu Jun 29 22:23:01 +0000 2017,,[],,[],"[{'url': 'https://t.co/TGZCKOhS2p', 'expanded_url': 'https://www.swarmapp.com/c/1RgkfREOwDv', 'display_url': 'swarmapp.com/c/1RgkfREOwDv', 'indices': [108, 131]}]","[{'screen_name': 'SMRT_Singapore', 'name': 'SMRT Corporation', 'id': 307781209, 'id_str': '307781209', 'indices': [78, 93]}]",,,,,,,,,,1,FALSE,low,,"[1.36976466, 103.8497248]",Point,8.80552E+17,8.80552E+17,,,,,,FALSE,en,[{'tag': None}],,"[[[103.817833, 1.334355], [103.817833, 1.432041], [103.931418, 1.432041], [103.931418, 1.334355]]]",Polygon,Singapore,SG,"North-East Region, Singapore",5f1f473ed6455f55,North-East Region,admin,https://api.twitter.com/1.1/geo/id/5f1f473ed6455f55.json,FALSE,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,FALSE,"<a href=""http://foursquare.com"" rel=""nofollow"">Foursquare</a>",Already have announcements of 10mins delay (@ Ang Mo Kio MRT Station (NS16) - @smrt_singapore in Singapore) https://t.co/TGZCKOhS2p,FALSE,FALSE,Tue Apr 21 03:52:48 +0000 2009,TRUE,FALSE,"Simple guy, father of two, Techly Geekazoidal Am I a knowledge & information junkie?",26,,486,,794,TRUE,33801370,33801370,FALSE,en,19,Singapore,Amy Ryan,,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,FALSE,https://pbs.twimg.com/profile_banners/33801370/1487981511,http://pbs.twimg.com/profile_images/2306159623/image_normal.jpg,https://pbs.twimg.com/profile_images/2306159623/image_normal.jpg,1DA1F2,C0DEED,DDEEF6,333333,TRUE,FALSE,Amy Ryan,36776,,none,,,FALSE
7,7,8.74079E+17,22,"in singapore, the mrt doesn't moves #mrt #breakdown #smrt #late #singapore… https://t.co/b9goskzpjk",neutral,0.847947419,objective,1,0,,,,"[103.882981, 1.316442]",Point,Mon Jun 12 01:41:11 +0000 2017,,"[{'text': 'mrt', 'indices': [36, 40]}, {'text': 'breakdown', 'indices': [41, 51]}, {'text': 'smrt', 'indices': [52, 57]}, {'text': 'late', 'indices': [58, 63]}, {'text': 'singapore', 'indices': [64, 74]}]",,[],"[{'url': 'https://t.co/b9goSKzpJK', 'expanded_url': 'https://www.instagram.com/p/BVOKo80A11V/', 'display_url': 'instagram.com/p/BVOKo80A11V/', 'indices': [76, 99]}]",[],,,,,,,,,,0,FALSE,low,,"[1.316442, 103.882981]",Point,8.74079E+17,8.74079E+17,,,,,,FALSE,en,[{'tag': None}],,"[[[103.74996, 1.212314], [103.74996, 1.368745], [103.918427, 1.368745], [103.918427, 1.212314]]]",Polygon,Singapore,SG,"Central Region, Singapore",58a4c3a0d54e1400,Central Region,admin,https://api.twitter.com/1.1/geo/id/58a4c3a0d54e1400.json,FALSE,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,FALSE,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","In Singapore, the MRT doesn't moves #mrt #breakdown #smrt #late #singapore… https://t.co/b9goSKzpJK",FALSE,FALSE,Wed Dec 21 22:46:51 +0000 2011,FALSE,FALSE,"Technology avid, Crypto-visionary. Japanese food gourmet. Fool me once, shame on you. Fool me twice, shame on me.",1441,,85,,178,TRUE,443197029,443197029,FALSE,en,4,Singapore,Daniel Haynes,,390D19,http://abs.twimg.com/images/themes/theme16/bg.gif,https://abs.twimg.com/images/themes/theme16/bg.gif,FALSE,https://pbs.twimg.com/profile_banners/443197029/1363138424,http://pbs.twimg.com/profile_images/1706836816/nyan1_normal.png,https://pbs.twimg.com/profile_images/1706836816/nyan1_normal.png,0084B4,FFFFFF,DDFFCC,333333,TRUE,FALSE,Daniel Haynes,6166,,none,,,FALSE
8,8,8.69342E+17,26,train delay again. oh my god. (@ choa chu kang mrt/lrt interchange (ns4/bp1) - @smrt_singapore in singapore) https://t.co/hjm1av8sbw,neutral,0.920829356,subjective,1,0,,,,"[103.74440246, 1.38546648]",Point,Mon May 29 23:58:19 +0000 2017,,[],,[],"[{'url': 'https://t.co/hJm1Av8sbw', 'expanded_url': 'https://www.swarmapp.com/c/j67S6XNYJ7V', 'display_url': 'swarmapp.com/c/j67S6XNYJ7V', 'indices': [106, 129]}]","[{'screen_name': 'SMRT_Singapore', 'name': 'SMRT Corporation', 'id': 307781209, 'id_str': '307781209', 'indices': [76, 91]}]",,,,,,,,,,0,FALSE,low,,"[1.38546648, 103.74440246]",Point,8.69342E+17,8.69342E+17,,,,,,FALSE,in,[{'tag': None}],,"[[[103.605441, 1.166389], [103.605441, 1.435746], [103.801598, 1.435746], [103.801598, 1.166389]]]",Polygon,Singapore,SG,"West Region, Singapore",0b37664066a8962a,West Region,admin,https://api.twitter.com/1.1/geo/id/0b37664066a8962a.json,FALSE,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,FALSE,"<a href=""http://foursquare.com"" rel=""nofollow"">Foursquare</a>",Train delay again. Alamak. (@ Choa Chu Kang MRT/LRT Interchange (NS4/BP1) - @smrt_singapore in Singapore) https://t.co/hJm1Av8sbw,FALSE,FALSE,Tue Mar 29 02:55:02 +0000 2011,FALSE,FALSE,You can see my smile. But you'll not see those tears that flow out from my years.,960,,57,,62,TRUE,273751336,273751336,FALSE,en,1,,Danny Smith,,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,TRUE,https://pbs.twimg.com/profile_banners/273751336/1406156951,http://pbs.twimg.com/profile_images/854228751055335424/uadOZfpz_normal.jpg,https://pbs.twimg.com/profile_images/854228751055335424/uadOZfpz_normal.jpg,F70A6D,0,DDEEF6,333333,TRUE,FALSE,Danny Smith,6760,,none,,,FALSE
9,9,8.54145E+17,34,train fault cunt (@ paya lebar mrt interchange (ew8/cc9) - @smrt_singapore in singapore) https://t.co/ekvmnuqvoa,neutral,0.825505435,objective,1,0,,,,"[103.89249398, 1.31802731]",Point,Tue Apr 18 01:30:57 +0000 2017,,[],,[],"[{'url': 'https://t.co/EKVmnUQvoa', 'expanded_url': 'https://www.swarmapp.com/c/2wEw9qJSxQD', 'display_url': 'swarmapp.com/c/2wEw9qJSxQD', 'indices': [87, 110]}]","[{'screen_name': 'SMRT_Singapore', 'name': 'SMRT Corporation', 'id': 307781209, 'id_str': '307781209', 'indices': [57, 72]}]",,,,,,,,,,0,FALSE,low,,"[1.31802731, 103.89249398]",Point,8.54145E+17,8.54145E+17,,,,,,FALSE,in,[{'tag': None}],,"[[[103.74996, 1.212314], [103.74996, 1.368745], [103.918427, 1.368745], [103.918427, 1.212314]]]",Polygon,Singapore,SG,"Central Region, Singapore",58a4c3a0d54e1400,Central Region,admin,https://api.twitter.com/1.1/geo/id/58a4c3a0d54e1400.json,FALSE,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,FALSE,"<a href=""http://foursquare.com"" rel=""nofollow"">Foursquare</a>",Train fault cb (@ Paya Lebar MRT Interchange (EW8/CC9) - @smrt_singapore in Singapore) https://t.co/EKVmnUQvoa,FALSE,FALSE,Tue Apr 26 13:02:09 +0000 2011,FALSE,FALSE,,2115,,788,,434,TRUE,288214315,288214315,FALSE,en,5,,Paul Jones,,0,http://abs.twimg.com/images/themes/theme14/bg.gif,https://abs.twimg.com/images/themes/theme14/bg.gif,FALSE,https://pbs.twimg.com/profile_banners/288214315/1541985755,http://pbs.twimg.com/profile_images/1021229594089684993/5iL5i5zv_normal.jpg,https://pbs.twimg.com/profile_images/1021229594089684993/5iL5i5zv_normal.jpg,FF691F,0,0,0,FALSE,FALSE,Paul Jones,64715,,none,,,FALSE
